Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,minus_log10_padj,overlap_count,term_size,gene_ratio,Term_clean
GO_Biological_Process_2021,regulation of mRNA stability (GO:0043488),10/146,7.292516404344086e-05,0.0085343012910411,0,0,4.960446247464503,47.25359187956359,PSMD8;HSPA8;PSMD12;THRAP3;PSMD2;UBC;PSMB1;SERBP1;PABPC1;ZC3H14,2.068832029073748,10,146,0.0684931506849315,Regulation Of mRNA Stability
MSigDB_Hallmark_2020,E2F Targets,10/200,0.000912638219893532,0.0082137439790417,0,0,3.540834845735027,24.782908603900918,CDC20;TOP2A;RANBP1;PTTG1;STMN1;HMGB2;BIRC5;TUBG1;PAICS;SNRPB,2.085458838154181,10,200,0.05,E2F targets
MSigDB_Hallmark_2020,mTORC1 Signaling,10/200,0.000912638219893532,0.0082137439790417,0,0,3.540834845735027,24.782908603900918,PSMD12;PFKL;ARPC5L;TCEA1;ENO1;TUBG1;BCAT1;PPIA;GAPDH;LGMN,2.085458838154181,10,200,0.05,mTORC1 signaling
GO_Biological_Process_2021,cytoplasmic translation (GO:0002181),9/93,1.088737567952448e-05,0.0020623582038443,0,0,7.222385861561119,82.53675130420878,RPS26;EIF3M;RPL22;RPL37A;RPS3;RPL35A;RPSA;RPL22L1;ZC3H15,2.6856359013986038,9,93,0.0967741935483871,Cytoplasmic Translation
GO_Biological_Process_2021,regulation of cellular response to stress (GO:0080135),10/118,1.1604061505006672e-05,0.0020623582038443,0,0,6.255427841634738,71.0876540319715,HSPA8;HSP90AA1;HSPH1;PNPT1;HSP90AB1;DNAJC7;HSBP1;BAG1;AKT1S1;IER3,2.6856359013986038,10,118,0.0847457627118644,Regulation Of Cellular Response To Stress
KEGG_2021_Human,Spliceosome,12/150,2.8451025032526987e-06,0.000651528473244868,0,0,5.906400966183575,75.42421739589007,HSPA8;HNRNPA3;SNRPD1;SNRNP70;BUD31;PPIH;PLRG1;WBP11;SRSF7;SRSF10;RBMX;SNRPB,3.1860665999008697,12,150,0.08,Spliceosome
GO_Biological_Process_2021,regulation of mRNA catabolic process (GO:0061013),11/122,2.309578189464112e-06,0.0005644031700502924,0,0,6.717135820942049,87.17798218965507,PSMD8;HSPA8;PSMD12;PNPT1;CNOT7;PSMD2;UBC;PSMB1;SERBP1;PABPC1;ZC3H14,3.2484105556344103,11,122,0.09016393442622951,Regulation Of mRNA Catabolic Process
GO_Biological_Process_2021,regulation of mitotic cell cycle phase transition (GO:1901990),14/188,1.0034697950566411e-06,0.00039235668986714665,0,0,5.493207941483804,75.87244499828604,PSMD12;HSP90AA1;UBE2C;CUL1;TUBG1;CKAP5;CDC20;PSMD8;CENPF;PPP2R1A;PSMD2;UBC;PSMB1;BUB3,3.4063189380652843,14,188,0.07446808510638298,Regulation Of Mitotic Cell Cycle Phase Transition
GO_Biological_Process_2021,mRNA processing (GO:0006397),18/300,7.13559520509062e-07,0.00034875221564880407,0,0,4.395201448619285,62.20528602773801,HSPA8;HNRNPA3;CPSF6;BUD31;PLRG1;GTF2F1;WBP11;SFPQ;SNRPD1;SNRNP70;PPIH;PABPC1;POLR2H;SRSF10;SRSF7;RBMX;POLR2K;SNRPB,3.457483024604388,18,300,0.06,mRNA Processing
GO_Biological_Process_2021,"mRNA splicing, via spliceosome (GO:0000398)",18/274,1.8831549525191514e-07,0.0001754576649747751,0,0,4.848071808510638,75.07310517611003,HSPA8;HNRNPA3;DDX1;BUD31;PLRG1;GTF2F1;WBP11;SFPQ;SNRPD1;SNRNP70;PPIH;PABPC1;POLR2H;SRSF10;SRSF7;RBMX;POLR2K;SNRPB,3.7558276546156533,18,274,0.06569343065693431,"mRNA Splicing, via Spliceosome"
MSigDB_Hallmark_2020,G2-M Checkpoint,14/200,2.094968401484492e-06,4.7136789033401066e-05,0,0,5.13564929693962,67.15360685811297,TOP2A;HSPA8;UBE2C;CUL1;MEIS2;CDC20;CENPF;SFPQ;PTTG1;SNRPD1;STMN1;BIRC5;BUB3;SRSF10,4.3266400050227976,14,200,0.07,G2M checkpoint
MSigDB_Hallmark_2020,Myc Targets V1,18/200,1.4198379545519955e-09,6.38927079548398e-08,0,0,6.845218611176058,139.45574324476237,RANBP1;HNRNPA3;HSP90AB1;EIF1AX;CNBP;RPL22;CUL1;PSMD8;CDC20;SNRPD1;RUVBL2;SERBP1;EIF3J;RPS3;PABPC1;BUB3;PPIA;SRSF7,7.194548704841383,18,200,0.09,MYC targets
