Signature,Spearman_r,P_value,minus_log10_p,Significance
CD8 T cell,-0.04608153932560506,0.37611984891476435,0.4246737470171337,ns
Cytotoxicity,-0.05787980833629039,0.26613202530327734,0.5749028609780412,ns
Treg,0.2033134604041482,8.00835102160271e-05,4.096456899139625,***
Exhaustion,0.21452940637359386,3.089091539932345e-05,4.510169221935375,***
TAM / Myeloid,0.09055475787064346,0.08152553597110293,1.0887063373422776,ns
M2 macrophage,0.0841153648213904,0.10575381670578306,0.9757039497746794,ns
CAF,0.08680067773190112,0.09503626785923519,1.0221106270763218,ns
Antigen presentation,0.21467298965777362,3.0506404904514708e-05,4.5156089697462125,***
IFN response,0.14722832562150884,0.004486667190457714,2.348076144130468,**
