Signature,NR_mean,R_mean,NR_median,R_median,Delta_R_minus_NR,P_value,minus_log10_p,Significance
Hypoxia,-0.2017810186660504,0.227003645999308,-0.3591860868786989,0.3001275636690157,0.42878466466535836,0.113944878650761,0.9433051897788872,ns
EMT,-0.2562182232980825,0.2882455012103421,-0.09359365958157956,0.38275209679796857,0.5444637245084246,0.1995886466474702,0.6998641666488004,ns
TAM_M2,-0.27685347348945194,0.3114601576756341,-0.3037388905502269,0.296161431616863,0.5883136311650861,0.4807075277663513,0.318119076869087,ns
IFNG_Response,-0.27774712109844607,0.3124655112357518,-0.21168301656148886,0.5952250968757566,0.5902126323341979,0.113944878650761,0.9433051897788872,ns
SPP1_TAM_axis,-0.297559949039433,0.3347549426693617,-0.2404837471295616,0.5753575057737534,0.6323148917087946,0.011106540518305223,1.9544211946843484,*
MHC_II,-0.30450974271068004,0.3425734605495156,-0.3026510595551063,0.33187629634997506,0.6470832032601956,0.059234882764294526,1.2274224667480862,ns
Immunosuppression,-0.3056638502533648,0.3438718315350349,-0.37874617076483236,0.5122372452355133,0.6495356817883997,0.03595228301110654,1.4442735262089328,*
Tcell_Exhaustion,-0.3331006028574107,0.3747381782145872,-0.23388452642227067,0.7733538407506355,0.7078387810719979,0.113944878650761,0.9433051897788872,ns
MHC_I,-0.33319154995586325,0.37484049370034594,-0.438358559052516,0.5120927957951162,0.7080320436562092,0.015220074043603454,1.8175832347763408,*
Checkpoint,-0.3867679587399672,0.43511395358246296,-0.16907528529109964,0.8974776794001271,0.8218819123224301,0.113944878650761,0.9433051897788872,ns
Cytotoxicity,-0.4068617906009821,0.45771951442610515,-0.21069575605788526,1.1235662484601794,0.8645813050270872,0.13879062114356233,0.8576398805902293,ns
Treg,-0.4096268026610712,0.46083015299370533,-0.23603672972444917,0.6805215155853989,0.8704569556547765,0.03595228301110654,1.4442735262089328,*
