Pair,Sender,Target,Ligand_avg,Receptor_avg,Communication_score,Sender_short
SPP1-CD44,RLP3/RLP4-low malignant,T_NK,0.25632086,1.0491189,0.26891106,Combined-low
SPP1-CD44,RLP3/RLP4-low malignant,Treg,0.25632086,1.004089,0.25736895,Combined-low
SPP1-CD44,RLP3/RLP4-low malignant,Myeloid,0.25632086,0.80951476,0.20749553,Combined-low
SPP1-CD44,RLP3/RLP4-high malignant,T_NK,0.16523877,1.0491189,0.17335512,Combined-high
SPP1-CD44,RLP3/RLP4-high malignant,Treg,0.16523877,1.004089,0.16591443,Combined-high
SPP1-CD44,RLP3/RLP4-high malignant,Myeloid,0.16523877,0.80951476,0.13376322,Combined-high
MIF-CD74,RLP3/RLP4-low malignant,T_NK,1.3647954,1.448744,1.9772393,Combined-low
MIF-CD74,RLP3/RLP4-low malignant,Treg,1.3647954,1.6618792,2.268125,Combined-low
MIF-CD74,RLP3/RLP4-low malignant,Myeloid,1.3647954,3.9966931,5.4546685,Combined-low
MIF-CD74,RLP3/RLP4-high malignant,T_NK,1.6549999,1.448744,2.3976712,Combined-high
MIF-CD74,RLP3/RLP4-high malignant,Treg,1.6549999,1.6618792,2.7504098,Combined-high
MIF-CD74,RLP3/RLP4-high malignant,Myeloid,1.6549999,3.9966931,6.6145267,Combined-high
LGALS9-TIM3,RLP3/RLP4-low malignant,T_NK,0.07120031,0.18551563,0.01320877,Combined-low
LGALS9-TIM3,RLP3/RLP4-low malignant,Treg,0.07120031,0.30384296,0.021633713,Combined-low
LGALS9-TIM3,RLP3/RLP4-low malignant,Myeloid,0.07120031,0.44197693,0.031468894,Combined-low
LGALS9-TIM3,RLP3/RLP4-high malignant,T_NK,0.054902025,0.18551563,0.010185184,Combined-high
LGALS9-TIM3,RLP3/RLP4-high malignant,Treg,0.054902025,0.30384296,0.016681593,Combined-high
LGALS9-TIM3,RLP3/RLP4-high malignant,Myeloid,0.054902025,0.44197693,0.024265429,Combined-high
PD-L1-PD1,RLP3/RLP4-low malignant,T_NK,0.010257447,0.2283348,0.0023421322,Combined-low
PD-L1-PD1,RLP3/RLP4-low malignant,Treg,0.010257447,0.29752132,0.0030518093,Combined-low
PD-L1-PD1,RLP3/RLP4-low malignant,Myeloid,0.010257447,0.014741114,0.0001512062,Combined-low
PD-L1-PD1,RLP3/RLP4-high malignant,T_NK,0.0056219664,0.2283348,0.0012836906,Combined-high
PD-L1-PD1,RLP3/RLP4-high malignant,Treg,0.0056219664,0.29752132,0.0016726549,Combined-high
PD-L1-PD1,RLP3/RLP4-high malignant,Myeloid,0.0056219664,0.014741114,8.287405e-05,Combined-high
TGFB-TGFBR2,RLP3/RLP4-low malignant,T_NK,0.38298202,0.44554564,0.17063597,Combined-low
TGFB-TGFBR2,RLP3/RLP4-low malignant,Treg,0.38298202,0.27018538,0.103476144,Combined-low
TGFB-TGFBR2,RLP3/RLP4-low malignant,Myeloid,0.38298202,0.48661858,0.18636617,Combined-low
TGFB-TGFBR2,RLP3/RLP4-high malignant,T_NK,0.40814236,0.44554564,0.18184605,Combined-high
TGFB-TGFBR2,RLP3/RLP4-high malignant,Treg,0.40814236,0.27018538,0.1102741,Combined-high
TGFB-TGFBR2,RLP3/RLP4-high malignant,Myeloid,0.40814236,0.48661858,0.19860965,Combined-high
CXCL10-CXCR3,RLP3/RLP4-low malignant,T_NK,0.039661217,0.3020312,0.011978924,Combined-low
CXCL10-CXCR3,RLP3/RLP4-low malignant,Treg,0.039661217,0.4072521,0.016152114,Combined-low
CXCL10-CXCR3,RLP3/RLP4-low malignant,Myeloid,0.039661217,0.021216031,0.0008414536,Combined-low
CXCL10-CXCR3,RLP3/RLP4-high malignant,T_NK,0.032335896,0.3020312,0.009766449,Combined-high
CXCL10-CXCR3,RLP3/RLP4-high malignant,Treg,0.032335896,0.4072521,0.013168862,Combined-high
CXCL10-CXCR3,RLP3/RLP4-high malignant,Myeloid,0.032335896,0.021216031,0.0006860394,Combined-high
